, ,2024T1,2023T4,2023T3,2023T2,2023T1,2022T4,2022T3,2022T2,2022T1,2021T4,2021T3,2021T2,2021T1,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1
Nacional,    General,152.618,148.69,150.273,146.583,143.58,142.666,143.86,141.433,138.742,135.291,133.652,130.937,127.831,127.179,128.255,126.799,126.695,125.32,126.135,124.175,122.758,120.954,120.491,117.941,114.994,113.457,112.442,110.41,108.239,105.848,105.431,104.601,102.775,101.305,101.358,100.687,96.651
Nacional,    Vivienda nueva,178.899,169.581,171.973,165.263,162.514,157.801,154.931,153.51,153.365,148.64,145.073,141.088,139.321,140.144,139.4,133.093,136.156,129.523,129.72,127.787,128.285,123.044,121.645,119.235,116.249,113.902,114.619,112.835,110.016,106.098,107.605,108.105,104.284,101.678,100.328,99.726,98.268
Nacional,    Vivienda segunda mano,148.616,145.467,146.922,143.71,140.665,140.353,142.339,139.707,136.511,133.292,132.009,129.522,126.153,125.222,126.58,125.875,125.28,124.72,125.623,123.659,121.97,120.656,120.321,117.752,114.81,113.384,112.131,110.064,107.983,105.803,105.084,104.045,102.533,101.241,101.534,100.852,96.373
"Balears, Illes",    General,168.273,165.249,167.28,162.183,159.06,158.3,160.112,157.098,152.625,149.462,147.791,141.694,136.265,136.398,138.41,134.061,134.726,133.139,133.92,128.181,127.149,126.178,126.301,121.782,118.479,118.636,118.005,112.337,109.53,108.09,108.189,104.63,103.795,102.261,102.692,99.624,95.424
"Balears, Illes",    Vivienda nueva,198.151,190.5,188.722,178.772,176.211,171.05,169.497,166.714,164.502,160.667,155.844,147.838,147.196,150.176,145.381,134.967,139.228,134.602,130.3,124.378,126.037,123.082,120.144,119.979,114.629,115.688,115.567,109.992,106.956,105.05,105.529,103.784,103.758,102.053,103.204,98.402,96.341
"Balears, Illes",    Vivienda segunda mano,165.377,162.951,165.478,160.97,157.759,157.555,159.784,156.728,151.957,148.86,147.524,141.61,135.638,135.462,138.026,134.162,134.537,133.194,134.372,128.64,127.397,126.579,126.955,122.071,118.933,119.016,118.329,112.648,109.865,108.474,108.525,104.737,103.8,102.287,102.628,99.777,95.309
Cataluña,    General,162.075,158.037,160.395,156.147,153.461,152.647,154.552,151.314,148.291,144.743,142.94,141.133,137.675,136.461,138.395,136.693,136.02,135.113,136.037,133.59,131.836,130.708,129.967,127.004,122.514,120.858,119.167,116.165,112.848,109.666,108.383,106.291,103.741,102.068,101.643,100.74,95.549
Cataluña,    Vivienda nueva,190.301,181.233,182.398,176.747,174.425,167.994,165.509,163.891,162.982,158.624,153.136,152.409,149.613,151.748,150.374,143.046,145.68,137.426,137.372,133.465,135.929,131.023,128.878,127.252,121.523,119.185,119.68,116.976,112.595,108.294,110.368,108.531,104.474,102.82,102.077,98.605,96.498
Cataluña,    Vivienda segunda mano,159.252,155.698,158.177,154.071,151.348,151.104,153.55,150.106,146.818,143.362,142.013,140.067,136.518,134.885,137.171,136.067,135.042,134.915,135.933,133.624,131.468,130.7,130.076,127,122.614,121.016,119.13,116.101,112.878,109.796,108.18,106.063,103.663,101.987,101.597,100.968,95.448
"Madrid, Comunidad de",    General,168.785,164.821,166.589,162.841,159.407,157.779,160.024,156.46,154.666,150.345,148.701,145.849,143.929,142.54,144.599,143.13,143.971,140.469,142.864,140.795,140.44,136.465,136.576,132.253,128.005,124.536,123.166,120.105,116.205,111.28,109.629,108.331,105.026,102.077,101.685,100.535,95.703
"Madrid, Comunidad de",    Vivienda nueva,187.769,180.926,182.663,175.096,170.055,164.81,163.639,162.622,164.036,158.308,153.498,149.29,148.812,148.875,144.433,139.125,146.837,135.334,136.276,135.043,138.27,128.818,128.951,126.865,121.981,120.128,121.365,119.706,115.158,108.611,109.683,111.252,106.516,102.032,100.622,99.203,98.143
"Madrid, Comunidad de",    Vivienda segunda mano,164.04,160.651,162.422,159.591,156.546,155.783,159.059,154.725,151.963,148.062,147.354,144.902,142.555,140.735,144.303,143.73,142.97,141.34,144.039,141.796,140.681,137.875,137.981,133.216,129.098,125.31,123.449,120.125,116.348,111.732,109.619,107.835,104.772,102.084,101.854,100.745,95.317
